Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C27,10uF,C_0805,118.45,-114.97,180.0,top
C27,10uF,C_0805,87.15,-115.17,180.0,top
C27,10uF,C_0805,87.845,-144.655,180.0,top
C28,10uF,C_0805,154.85,-142.47,180.0,top
C28,10uF,C_0805,154.05,-112.87,180.0,top
C28,10uF,C_0805,121.75,-142.47,180.0,top
C28,10uF,C_0805,121.85,-112.97,180.0,top
C28,10uF,C_0805,90.55,-113.17,180.0,top
C28,10uF,C_0805,91.245,-142.655,180.0,top
C29,10uF,C_0805,154.85,-146.42,180.0,top
C29,10uF,C_0805,154.05,-116.82,180.0,top
C29,10uF,C_0805,121.75,-146.42,180.0,top
C29,10uF,C_0805,121.85,-116.92,180.0,top
C29,10uF,C_0805,90.55,-117.12,180.0,top
C29,10uF,C_0805,91.245,-146.605,180.0,top
C3,10uF,C_0805,99.75,-106.81,180.0,top
C3,10uF,C_0805,132.75,-136.31,180.0,top
C3,10uF,C_0805,131.95,-106.71,180.0,top
C3,10uF,C_0805,99.65,-136.31,180.0,top
C3,10uF,C_0805,68.45,-107.01,180.0,top
C3,10uF,C_0805,69.145,-136.495,180.0,top
C30,10uF,C_0805,154.8,-140.37,180.0,top
C30,10uF,C_0805,154.0,-110.77,180.0,top
C30,10uF,C_0805,121.7,-140.37,180.0,top
C30,10uF,C_0805,121.8,-110.87,180.0,top
C30,10uF,C_0805,90.5,-111.07,180.0,top
C30,10uF,C_0805,91.195,-140.555,180.0,top
C31,10uF,C_0805,154.8,-138.37,180.0,top
C31,10uF,C_0805,154.0,-108.77,180.0,top
C31,10uF,C_0805,121.7,-138.37,180.0,top
C31,10uF,C_0805,121.8,-108.87,180.0,top
C31,10uF,C_0805,90.5,-109.07,180.0,top
C31,10uF,C_0805,91.195,-138.555,180.0,top
C32,10uF,C_0805,154.8,-136.37,180.0,top
C32,10uF,C_0805,154.0,-106.77,180.0,top
C32,10uF,C_0805,121.7,-136.37,180.0,top
C32,10uF,C_0805,121.8,-106.87,180.0,top
C32,10uF,C_0805,90.5,-107.07,180.0,top
C32,10uF,C_0805,91.195,-136.555,180.0,top
C33,10uF,C_0805,154.8,-134.37,180.0,top
C33,10uF,C_0805,154.0,-104.77,180.0,top
C33,10uF,C_0805,121.7,-134.37,180.0,top
C33,10uF,C_0805,121.8,-104.87,180.0,top
C33,10uF,C_0805,90.5,-105.07,180.0,top
C33,10uF,C_0805,91.195,-134.555,180.0,top
C34,10uF,C_0805,154.8,-132.37,180.0,top
C34,10uF,C_0805,154.0,-102.77,180.0,top
C34,10uF,C_0805,121.7,-132.37,180.0,top
C34,10uF,C_0805,121.8,-102.87,180.0,top
C34,10uF,C_0805,90.5,-103.07,180.0,top
C34,10uF,C_0805,91.195,-132.555,180.0,top
C35,10uF,C_0805,151.45,-150.57,180.0,top
C35,10uF,C_0805,150.65,-120.97,180.0,top
C35,10uF,C_0805,118.35,-150.57,180.0,top
C35,10uF,C_0805,118.45,-121.07,180.0,top
C35,10uF,C_0805,87.15,-121.27,180.0,top
C35,10uF,C_0805,87.845,-150.755,180.0,top
C36,10uF,C_0805,151.4,-136.37,180.0,top
C36,10uF,C_0805,150.6,-106.77,180.0,top
C36,10uF,C_0805,118.3,-136.37,180.0,top
C36,10uF,C_0805,118.4,-106.87,180.0,top
C36,10uF,C_0805,87.1,-107.07,180.0,top
C36,10uF,C_0805,87.795,-136.555,180.0,top
C37,10uF,C_0805,151.4,-134.37,180.0,top
C37,10uF,C_0805,150.6,-104.77,180.0,top
C37,10uF,C_0805,118.3,-134.37,180.0,top
C37,10uF,C_0805,118.4,-104.87,180.0,top
C37,10uF,C_0805,87.1,-105.07,180.0,top
C37,10uF,C_0805,87.795,-134.555,180.0,top
C38,10uF,C_0805,151.4,-132.37,180.0,top
C38,10uF,C_0805,150.6,-102.77,180.0,top
C38,10uF,C_0805,118.3,-132.37,180.0,top
C38,10uF,C_0805,118.4,-102.87,180.0,top
C38,10uF,C_0805,87.1,-103.07,180.0,top
C38,10uF,C_0805,87.795,-132.555,180.0,top
C39,10uF,C_0805,151.4,-130.37,180.0,top
C39,10uF,C_0805,150.6,-100.77,180.0,top
C39,10uF,C_0805,118.3,-130.37,180.0,top
C39,10uF,C_0805,118.4,-100.87,180.0,top
C39,10uF,C_0805,87.1,-101.07,180.0,top
C39,10uF,C_0805,87.795,-130.555,180.0,top
C4,10uF,C_0805,99.75,-104.81,180.0,top
C4,10uF,C_0805,132.75,-134.31,180.0,top
C4,10uF,C_0805,131.95,-104.71,180.0,top
C4,10uF,C_0805,99.65,-134.31,180.0,top
C4,10uF,C_0805,68.45,-105.01,180.0,top
C4,10uF,C_0805,69.145,-134.495,180.0,top
C40,10uF,C_0805,154.8,-130.37,180.0,top
C40,10uF,C_0805,154.0,-100.77,180.0,top
C40,10uF,C_0805,121.7,-130.37,180.0,top
C40,10uF,C_0805,121.8,-100.87,180.0,top
C40,10uF,C_0805,90.5,-101.07,180.0,top
C40,10uF,C_0805,91.195,-130.555,180.0,top
C41,10uF,C_0805,151.45,-148.52,180.0,top
C41,10uF,C_0805,150.65,-118.92,180.0,top
C41,10uF,C_0805,118.35,-148.52,180.0,top
C41,10uF,C_0805,118.45,-119.02,180.0,top
C41,10uF,C_0805,87.15,-119.22,180.0,top
C41,10uF,C_0805,87.845,-148.705,180.0,top
C42,10uF,C_0805,151.45,-146.47,180.0,top
C42,10uF,C_0805,150.65,-116.87,180.0,top
C42,10uF,C_0805,118.35,-146.47,180.0,top
C42,10uF,C_0805,118.45,-116.97,180.0,top
C42,10uF,C_0805,87.15,-117.17,180.0,top
C42,10uF,C_0805,87.845,-146.655,180.0,top
C43,10uF,C_0805,151.4,-140.37,180.0,top
C43,10uF,C_0805,150.6,-110.77,180.0,top
C43,10uF,C_0805,118.3,-140.37,180.0,top
C43,10uF,C_0805,118.4,-110.87,180.0,top
C43,10uF,C_0805,87.1,-111.07,180.0,top
C43,10uF,C_0805,87.795,-140.555,180.0,top
C44,10uF,C_0805,151.4,-138.37,180.0,top
C44,10uF,C_0805,150.6,-108.77,180.0,top
C44,10uF,C_0805,118.3,-138.37,180.0,top
C44,10uF,C_0805,118.4,-108.87,180.0,top
C44,10uF,C_0805,87.1,-109.07,180.0,top
C44,10uF,C_0805,87.795,-138.555,180.0,top
C5,10uF,C_0805,99.75,-102.81,180.0,top
C5,10uF,C_0805,132.75,-132.31,180.0,top
C5,10uF,C_0805,131.95,-102.71,180.0,top
C5,10uF,C_0805,99.65,-132.31,180.0,top
C5,10uF,C_0805,68.45,-103.01,180.0,top
C5,10uF,C_0805,69.145,-132.495,180.0,top
C6,10uF,C_0805,99.75,-100.76,180.0,top
C6,10uF,C_0805,132.75,-130.26,180.0,top
C6,10uF,C_0805,131.95,-100.66,180.0,top
C6,10uF,C_0805,99.65,-130.26,180.0,top
C6,10uF,C_0805,68.45,-100.96,180.0,top
C6,10uF,C_0805,69.145,-130.445,180.0,top
C7,10uF,C_0805,96.3,-106.91,180.0,top
C7,10uF,C_0805,129.3,-136.41,180.0,top
C7,10uF,C_0805,128.5,-106.81,180.0,top
C7,10uF,C_0805,96.2,-136.41,180.0,top
C7,10uF,C_0805,65.0,-107.11,180.0,top
C7,10uF,C_0805,65.695,-136.595,180.0,top
C8,10uF,C_0805,96.3,-104.86,180.0,top
C8,10uF,C_0805,129.3,-134.36,180.0,top
C8,10uF,C_0805,128.5,-104.76,180.0,top
C8,10uF,C_0805,96.2,-134.36,180.0,top
C8,10uF,C_0805,65.0,-105.06,180.0,top
C8,10uF,C_0805,65.695,-134.545,180.0,top
C9,10uF,C_0805,99.7,-118.91,180.0,top
C9,10uF,C_0805,132.7,-148.41,180.0,top
C9,10uF,C_0805,131.9,-118.81,180.0,top
C9,10uF,C_0805,99.6,-148.41,180.0,top
C9,10uF,C_0805,68.4,-119.11,180.0,top
C9,10uF,C_0805,69.095,-148.595,180.0,top
D2,SS38,D_SMA,138.2,-131.31,180.0,top
D2,SS38,D_SMA,137.4,-101.71,180.0,top
D2,SS38,D_SMA,105.1,-131.31,180.0,top
D2,SS38,D_SMA,105.2,-101.81,180.0,top
D2,SS38,D_SMA,73.9,-102.01,180.0,top
D2,SS38,D_SMA,74.595,-131.495,180.0,top
D3,SS38,D_SMA,138.2,-147.41,180.0,top
D3,SS38,D_SMA,137.4,-117.81,180.0,top
D3,SS38,D_SMA,105.1,-147.41,180.0,top
D3,SS38,D_SMA,105.2,-117.91,180.0,top
D3,SS38,D_SMA,73.9,-118.11,180.0,top
D3,SS38,D_SMA,74.595,-147.595,180.0,top
D4,SS38,D_SMA,146.1,-126.77,180.0,top
D4,SS38,D_SMA,145.3,-97.17,180.0,top
D4,SS38,D_SMA,113.0,-126.77,180.0,top
D4,SS38,D_SMA,113.1,-97.27,180.0,top
D4,SS38,D_SMA,81.8,-97.47,180.0,top
D4,SS38,D_SMA,82.495,-126.955,180.0,top
D5,SS38,D_SMA,145.7,-147.17,0.0,top
D5,SS38,D_SMA,144.9,-117.57,0.0,top
D5,SS38,D_SMA,112.6,-147.17,0.0,top
D5,SS38,D_SMA,112.7,-117.67,0.0,top
D5,SS38,D_SMA,81.4,-117.87,0.0,top
D5,SS38,D_SMA,82.095,-147.355,0.0,top
D6,SS38,D_SMA,145.8,-131.07,0.0,top
D6,SS38,D_SMA,145.0,-101.47,0.0,top
D6,SS38,D_SMA,112.7,-131.07,0.0,top
D6,SS38,D_SMA,112.8,-101.57,0.0,top
D6,SS38,D_SMA,81.5,-101.77,0.0,top
D6,SS38,D_SMA,82.195,-131.255,0.0,top
J1,Molex_Micro-Fit_3.0 2x2,Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal,94.05,-78.415,0.0,top
J2,Molex_Micro-Fit_3.0 2x2,Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal,140.25,-78.6,0.0,top
J3,Molex_Micro-Fit_3.0 2x2,Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal,105.55,-78.4,0.0,top
J4,Molex_Micro-Fit_3.0 2x2,Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal,128.85,-78.5,0.0,top
J5,Molex_Micro-Fit_3.0 2x2,Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal,117.35,-78.3,0.0,top
J6,09031967921,DIN41612_R_3x32_Female_Horizontal_THT,113.18,-160.265,180.0,top
J7,AMASS XT60,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,79.8,-84.375,0.0,top
Q1,XR30N06F,TDSON-8-1,138.3,-136.01,0.0,top
Q1,XR30N06F,TDSON-8-1,137.5,-106.41,0.0,top
Q1,XR30N06F,TDSON-8-1,105.2,-136.01,0.0,top
Q1,XR30N06F,TDSON-8-1,105.3,-106.51,0.0,top
Q1,XR30N06F,TDSON-8-1,74.0,-106.71,0.0,top
Q1,XR30N06F,TDSON-8-1,74.695,-136.195,0.0,top
Q2,XR30N06F,TDSON-8-1,138.3,-142.72,0.0,top
Q2,XR30N06F,TDSON-8-1,137.5,-113.12,0.0,top
Q2,XR30N06F,TDSON-8-1,105.2,-142.72,0.0,top
Q2,XR30N06F,TDSON-8-1,105.3,-113.22,0.0,top
Q2,XR30N06F,TDSON-8-1,74.0,-113.42,0.0,top
Q2,XR30N06F,TDSON-8-1,74.695,-142.905,0.0,top
Q3,XR30N06F,TDSON-8-1,145.7,-142.435,180.0,top
Q3,XR30N06F,TDSON-8-1,144.9,-112.835,180.0,top
Q3,XR30N06F,TDSON-8-1,112.6,-142.435,180.0,top
Q3,XR30N06F,TDSON-8-1,112.7,-112.935,180.0,top
Q3,XR30N06F,TDSON-8-1,81.4,-113.135,180.0,top
Q3,XR30N06F,TDSON-8-1,82.095,-142.62,180.0,top
Q4,XR30N06F,TDSON-8-1,145.7,-136.065,180.0,top
Q4,XR30N06F,TDSON-8-1,144.9,-106.465,180.0,top
Q4,XR30N06F,TDSON-8-1,112.6,-136.065,180.0,top
Q4,XR30N06F,TDSON-8-1,112.7,-106.565,180.0,top
Q4,XR30N06F,TDSON-8-1,81.4,-106.765,180.0,top
Q4,XR30N06F,TDSON-8-1,82.095,-136.25,180.0,top
R10,10kΩ,R_0402,141.9,-151.87,-90.0,top
R10,10kΩ,R_0402,141.1,-122.27,-90.0,top
R10,10kΩ,R_0402,108.8,-151.87,-90.0,top
R10,10kΩ,R_0402,108.9,-122.37,-90.0,top
R10,10kΩ,R_0402,77.6,-122.57,-90.0,top
R10,10kΩ,R_0402,78.295,-152.055,-90.0,top
R11,10kΩ,R_0402,140.05,-151.87,-90.0,top
R11,10kΩ,R_0402,139.25,-122.27,-90.0,top
R11,10kΩ,R_0402,106.95,-151.87,-90.0,top
R11,10kΩ,R_0402,107.05,-122.37,-90.0,top
R11,10kΩ,R_0402,75.75,-122.57,-90.0,top
R11,10kΩ,R_0402,76.445,-152.055,-90.0,top
R12,10kΩ,R_0402,138.2,-151.87,-90.0,top
R12,10kΩ,R_0402,137.4,-122.27,-90.0,top
R12,10kΩ,R_0402,105.1,-151.87,-90.0,top
R12,10kΩ,R_0402,105.2,-122.37,-90.0,top
R12,10kΩ,R_0402,73.9,-122.57,-90.0,top
R12,10kΩ,R_0402,74.595,-152.055,-90.0,top
R8,10kΩ,R_0402,145.6,-151.87,-90.0,top
R8,10kΩ,R_0402,144.8,-122.27,-90.0,top
R8,10kΩ,R_0402,112.5,-151.87,-90.0,top
R8,10kΩ,R_0402,112.6,-122.37,-90.0,top
R8,10kΩ,R_0402,81.3,-122.57,-90.0,top
R8,10kΩ,R_0402,81.995,-152.055,-90.0,top
R9,10kΩ,R_0402,143.75,-151.87,-90.0,top
R9,10kΩ,R_0402,142.95,-122.27,-90.0,top
R9,10kΩ,R_0402,110.65,-151.87,-90.0,top
R9,10kΩ,R_0402,110.75,-122.37,-90.0,top
R9,10kΩ,R_0402,79.45,-122.57,-90.0,top
R9,10kΩ,R_0402,80.145,-152.055,-90.0,top
